ENTITEID|MUNID|CODEID|TYPE|ROUTE_VERT|DIREC_UNIQ|STATUT|REVETEMENT|PROPRIO|LARGEUR|LONGUEUR|GEOM
{20EFF59E-50DF-49D2-B7FA-678C81D72C01}|81017|68|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|62.0|LINESTRING (-75.736352 45.471597,-75.736379 45.471662,-75.736408 45.471706,-75.73647 45.471738,-75.73652 45.471761,-75.736547 45.471808,-75.736567 45.471878,-75.73658 45.471962,-75.736614 45.472012,-75.736666 45.472063,-75.736669 45.472083)
{8A53D811-6563-4989-8099-68FA1628FC7A}|81017|69|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|382.5|LINESTRING (2 34,-75.735425 45.471638,-75.735266 45.471682,-75.73512 45.4717,-75.73495 45.471694,-75.734693 45.471658,-75.734493 45.471625,-75.734359 45.47159,-75.73426 45.471554,-75.734204 45.471544,-75.734158 45.471551,-75.734108 45.471568,-75.734047 45.471618,-75.733974 45.47168,-75.733904 45.471729,-75.733812 45.471796,-75.73377 45.471845,-75.733759 45.47189,-75.733764 45.471936,-75.733803 45.471999,-75.733838 45.472064,-75.733847 45.472107,-75.733835 45.472159,-75.733789 45.472207,-75.733724 45.472245,-75.733633 45.472278,-75.733577 45.472308,-75.73351 45.472361,-75.733455 45.472435,-75.733397 45.472544,-75.733347 45.472647,-75.733296 45.472772,-75.733268 45.472876,-75.73326 45.472991,-75.733261 45.473075,2 15,-75.733261 45.473075,-75.733237 45.473119,-75.733146 45.4732,-75.733093 45.473255,-75.733071 45.4733,-75.733087 45.473337,-75.733121 45.47336,-75.733167 45.473374,-75.733214 45.473375,-75.733255 45.473359,-75.733284 45.473325,-75.733294 45.473275,-75.733292 45.473191,-75.73328 45.473123,-75.733261 45.473075)
{33FA571C-5F27-4349-9780-5B7BB845E70A}|81017|70|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|217.7|LINESTRING (-75.728208 45.462884,-75.728307 45.46287,-75.72856 45.462823,-75.728749 45.462808,-75.728923 45.462821,-75.729057 45.462826,-75.729211 45.462813,-75.729485 45.462776,-75.72984 45.462742,-75.730506 45.462681,-75.730797 45.462666,-75.730959 45.462692)
{560D4597-F42C-432D-B79A-21EC37A1B05D}|81017|71|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|23.0|LINESTRING (-75.728208 45.462884,-75.728117 45.462906,-75.728041 45.462957,-75.727986 45.46301)
{E2939260-BCE1-4D51-8D37-44C7D6A13FC5}|81017|72|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|124.7|LINESTRING (-75.738956 45.471556,-75.739076 45.471529,-75.739204 45.471492,-75.739333 45.471445,-75.739425 45.471389,-75.739496 45.471319,-75.739551 45.471238,-75.739596 45.471123,-75.739625 45.471018,-75.739639 45.470967,-75.739685 45.470897,-75.739735 45.470817,-75.739785 45.470764,-75.739855 45.470719)
{8F95134F-38CF-4842-9376-07EFBF9F3825}|81017|73|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|25.4|LINESTRING (-75.739639 45.470967,-75.739586 45.470911,-75.739515 45.47085,-75.739437 45.470787)
{0AC90AD6-81AD-4897-B57B-8FE63FC3B9C1}|81017|75|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|133.0|LINESTRING (-75.742247 45.469964,-75.742255 45.469816,-75.74224 45.469709,-75.742207 45.469625,-75.742136 45.469528,-75.742043 45.469437,-75.741978 45.469367,-75.741886 45.469054,-75.741883 45.469017,-75.741917 45.468976,-75.741975 45.468924,-75.742014 45.46889,-75.742033 45.468856)
{34116B56-2A99-4D79-ABC0-04F6ED10AF50}|81017|76|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|47.2|LINESTRING (-75.746851 45.470515,-75.746902 45.470939)
{70FCEF4F-1536-4A69-B2E4-2A4931C0D5C6}|81017|764|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|18.3|LINESTRING (-75.721189 45.454382,-75.721269 45.454426,-75.721335 45.454508)
{D1B86A80-87C5-47E7-AB23-CB43D7A96E00}|81017|765|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|19.0|LINESTRING (-75.721449 45.454356,-75.721335 45.454508)
